timestamp_ms,digit,digit_conf,ms_since_last_digit_change,mouse_x,mouse_y
1754697786835,2,0.535,1436,2388,1084
1754697791876,2,0.530,533,2308,1119
1754697794544,2,0.530,140,2405,1014
1754697795949,4,0.443,52,2405,1066
1754697880662,4,0.381,1775,964,189
1754697881252,4,0.705,71,964,189
1754697883091,1,0.605,66,964,189
1754697883526,1,0.606,500,964,189
1754697885529,1,0.606,149,964,189
1754697885988,1,0.606,607,964,189
1754697887935,1,0.606,141,964,189
1754697888307,1,0.606,512,964,189
1754697890252,1,0.606,90,964,189
1754697890727,1,0.606,566,964,189
1754697892604,2,0.682,574,964,189
1754697893078,1,0.606,447,964,189
1754697895147,1,0.605,133,963,189
1754697895880,4,0.731,267,963,189
1754697897241,2,0.682,422,962,189
1754697897710,1,0.606,300,962,189
1754697899912,1,0.606,136,962,189
1754697900441,4,0.705,53,962,189
1754697902404,1,0.606,158,961,189
1754697902933,4,0.742,94,961,189
1754697904669,1,0.606,57,960,189
1754697905187,1,0.606,574,960,189
1754697907098,1,0.605,73,960,189
1754697907526,1,0.606,501,960,189
1754697909412,2,0.682,604,959,189
1754697909927,1,0.606,501,959,189
1754697911809,2,0.682,551,959,189
1754697912318,1,0.606,482,959,189
1754697914263,1,0.606,75,959,189
1754697915001,4,0.736,224,959,189
1754697916751,1,0.606,173,959,189
1754697917290,4,0.712,110,959,189
1754697918635,2,0.682,244,2397,678
